study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
PRJNA720479	SAMN18651772	SRX10548222	SRR14180004	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/004/SRR14180004/SRR14180004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/004/SRR14180004/SRR14180004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/004/SRR14180004	EG69N_EG70N_larva
PRJNA720479	SAMN18651930	SRX10548219	SRR14180007	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/007/SRR14180007/SRR14180007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/007/SRR14180007/SRR14180007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/007/SRR14180007	SD54N_parent
PRJNA720479	SAMN18651929	SRX10548218	SRR14180008	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/008/SRR14180008/SRR14180008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/008/SRR14180008/SRR14180008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/008/SRR14180008	SD18N_parent
PRJNA720479	SAMN18651928	SRX10548217	SRR14180009	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/009/SRR14180009/SRR14180009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/009/SRR14180009/SRR14180009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/009/SRR14180009	SP87N_parent
PRJNA720479	SAMN18651926	SRX10548215	SRR14180011	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/011/SRR14180011/SRR14180011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/011/SRR14180011/SRR14180011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/011/SRR14180011	SP17N_parent
PRJNA720479	SAMN18651923	SRX10548211	SRR14180015	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/015/SRR14180015/SRR14180015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/015/SRR14180015/SRR14180015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/015/SRR14180015	FR16N_parent
PRJNA720479	SAMN18651922	SRX10548210	SRR14180016	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/016/SRR14180016/SRR14180016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/016/SRR14180016/SRR14180016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/016/SRR14180016	FR225N_parent
PRJNA720479	SAMN18651921	SRX10548209	SRR14180017	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/017/SRR14180017/SRR14180017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/017/SRR14180017/SRR14180017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/017/SRR14180017	FR109N_parent
PRJNA720479	SAMN18651920	SRX10548208	SRR14180018	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/018/SRR14180018/SRR14180018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/018/SRR14180018/SRR14180018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/018/SRR14180018	EG12N_parent
PRJNA720479	SAMN18651913	SRX10548200	SRR14180026	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/026/SRR14180026/SRR14180026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/026/SRR14180026/SRR14180026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/026/SRR14180026	EF101N_parent
