run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14179998	SAMN18651777	SRX10548228	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/098/SRR14179998/SRR14179998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/098/SRR14179998/SRR14179998_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/098/SRR14179998	
SRR14180000	SAMN18651775	SRX10548226	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/000/SRR14180000/SRR14180000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/000/SRR14180000/SRR14180000_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/000/SRR14180000	
SRR14180003	SAMN18651773	SRX10548223	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/003/SRR14180003/SRR14180003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/003/SRR14180003/SRR14180003_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/003/SRR14180003	
SRR14180005	SAMN18651932	SRX10548221	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/005/SRR14180005/SRR14180005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/005/SRR14180005/SRR14180005_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/005/SRR14180005	
SRR14180013	SAMN18651924	SRX10548213	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/013/SRR14180013/SRR14180013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/013/SRR14180013/SRR14180013_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/013/SRR14180013	
SRR14180019	SAMN18651919	SRX10548207	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/019/SRR14180019/SRR14180019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/019/SRR14180019/SRR14180019_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/019/SRR14180019	
SRR14180021	SAMN18651917	SRX10548205	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/021/SRR14180021/SRR14180021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/021/SRR14180021/SRR14180021_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/021/SRR14180021	
SRR14180031	SAMN18651834	SRX10548195	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/031/SRR14180031/SRR14180031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/031/SRR14180031/SRR14180031_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/031/SRR14180031	
SRR14180044	SAMN18651823	SRX10548182	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/044/SRR14180044/SRR14180044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/044/SRR14180044/SRR14180044_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/044/SRR14180044	
SRR14180045	SAMN18651822	SRX10548181	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/045/SRR14180045/SRR14180045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/045/SRR14180045/SRR14180045_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/045/SRR14180045	
